New_Participant_ID,New_Organization_ID,New_Campaign_ID,Organization_Name,Organization_type_Oficial,Campaign_Name,Campaign_Type_Official,Campaign_Start_Date,Campaign_End_Date,Country,Segment,Engagement_Score,Mes_Nombre,Mes_Numero,Cantidad_Registrados,Cantidad_Asistentes
PAR009,ORG002,CMP065,EDU IMPACT,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-06-28,2024-07-06,Costa Rica,Health,90,junio,6,1,1
PAR001,ORG006,CMP073,JÓVENES POR EL CLIMA,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-01-11,2024-01-19,Mexico,Women Empowerment,95,enero,1,1,0
PAR018,ORG008,CMP127,RED MUJERES+,Community Org,LATAM DATA SUMMIT,Outreach,2024-08-01,2024-08-10,Mexico,Women Empowerment,72,agosto,8,1,0
PAR002,ORG010,CMP084,TECH POR TODOS,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-05-24,2024-05-25,Ecuador,Education,53,mayo,5,1,1
PAR003,ORG010,CMP150,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-07-02,2024-07-15,Colombia,Youth,83,julio,7,1,1
PAR020,ORG010,CMP163,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-12-05,2024-12-08,Guatemala,Education,71,diciembre,12,1,1
PAR015,ORG010,CMP164,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-12-26,2024-12-27,Brazil,Climate,78,diciembre,12,1,0
PAR012,ORG001,CMP106,COMUNIDAD DATALATAM,Community Org,IMPACT MEASUREMENT 101,Training,2024-04-26,2024-05-08,Bolivia,Youth,48,abril,4,1,0
PAR012,ORG008,CMP037,RED MUJERES+,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-08-24,2024-08-27,Chile,Youth,71,agosto,8,1,0
PAR020,ORG003,CMP129,FUNDACIÓN FUTURO,Foundation,LATAM DATA SUMMIT,Outreach,2024-08-14,2024-08-21,Argentina,Education,79,agosto,8,1,0
PAR007,ORG010,CMP144,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-04-08,2024-04-11,Peru,Youth,74,abril,4,1,0
PAR012,ORG006,CMP054,JÓVENES POR EL CLIMA,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-08-10,2024-08-11,Costa Rica,Youth,83,agosto,8,1,1
PAR005,ORG006,CMP113,JÓVENES POR EL CLIMA,Community Org,IMPACT MEASUREMENT 101,Training,2024-07-31,2024-08-11,Ecuador,Health,45,julio,7,1,0
PAR018,ORG006,CMP032,JÓVENES POR EL CLIMA,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-06-23,2024-07-05,Ecuador,Women Empowerment,61,junio,6,1,1
PAR003,ORG007,CMP033,PUENTES DIGITALES,NGO,CLIMATE INNOVATION HUB,Outreach,2024-07-04,1900-01-01,Peru,Climate,96,julio,7,1,1
PAR005,ORG010,CMP017,TECH POR TODOS,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-12-19,2024-12-30,Chile,Education,97,diciembre,12,1,0
PAR017,ORG003,CMP082,FUNDACIÓN FUTURO,Foundation,FUNDRAISING ACCELERATOR,Fundraising,2024-05-05,2024-05-16,Chile,Women Empowerment,98,mayo,5,1,0
PAR003,ORG002,CMP007,EDU IMPACT,Social Enterprise,AI FOR SOCIAL IMPACT,Webinar,2024-07-03,2024-07-15,Ecuador,Climate,45,julio,7,1,0
PAR006,ORG007,CMP151,PUENTES DIGITALES,NGO,NONPROFIT TECH CLINIC,Tech support,2024-07-28,2024-08-07,Guatemala,Climate,54,julio,7,1,0
PAR004,ORG006,CMP131,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-10-05,2024-10-17,Bolivia,Climate,,octubre,10,1,0
PAR003,ORG008,CMP140,RED MUJERES+,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-01-07,2024-01-19,Ecuador,Women Empowerment,76,enero,1,1,0
PAR012,ORG007,CMP020,PUENTES DIGITALES,NGO,CLIMATE INNOVATION HUB,Outreach,2024-01-24,2024-01-28,Mexico,Climate,52,enero,1,1,0
PAR012,ORG002,CMP053,EDU IMPACT,Social Enterprise,COMMUNITY FUNDRAISING GALA,Fundraising,2024-07-22,2024-07-27,Bolivia,Education,85,julio,7,1,0
PAR006,ORG010,CMP031,TECH POR TODOS,NGO,CLIMATE INNOVATION HUB,Outreach,2024-06-09,2024-06-12,Costa Rica,Women Empowerment,59,junio,6,1,0
PAR005,ORG002,CMP027,EDU IMPACT,Social Enterprise,CLIMATE INNOVATION HUB,Outreach,2024-04-19,2024-04-27,Peru,Education,,abril,4,1,0
PAR008,ORG010,CMP173,TECH POR TODOS,NGO,STEAM TEACHERS WORKSHOP,Training,2024-04-04,2024-04-17,Brazil,Climate,,abril,4,1,0
PAR018,ORG008,CMP026,RED MUJERES+,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-04-13,2024-04-14,Bolivia,Youth,63,abril,4,1,0
PAR018,ORG004,CMP170,FUNDACIÓN LUZ VERDE,Foundation,STEAM TEACHERS WORKSHOP,Training,2024-02-03,2024-02-06,Colombia,Women Empowerment,74,febrero,2,1,0
PAR002,ORG010,CMP177,TECH POR TODOS,NGO,STEAM TEACHERS WORKSHOP,Training,2024-08-03,2024-08-07,Brazil,Education,55,agosto,8,1,1
PAR005,ORG008,CMP168,RED MUJERES+,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-01-19,2024-01-26,Brazil,Education,95,enero,1,1,0
PAR013,ORG007,CMP001,PUENTES DIGITALES,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-02-29,2024-03-02,Peru,Women Empowerment,82,febrero,2,1,0
PAR004,ORG006,CMP120,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-01-09,2024-01-14,Ecuador,Climate,89,enero,1,1,1
PAR002,ORG003,CMP075,FUNDACIÓN FUTURO,Foundation,FUNDRAISING ACCELERATOR,Fundraising,2024-01-25,2024-01-25,Ecuador,Youth,88,enero,1,1,0
PAR001,ORG002,CMP038,EDU IMPACT,Social Enterprise,CLIMATE INNOVATION HUB,Outreach,2024-09-01,2024-09-06,Bolivia,Education,40,septiembre,9,1,0
PAR020,ORG009,CMP143,SALUD CONECTA,Social Enterprise,NONPROFIT TECH CLINIC,Tech support,2024-04-04,2024-04-18,Mexico,Youth,40,abril,4,1,1
PAR015,ORG001,CMP168,COMUNIDAD DATALATAM,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-01-19,2024-01-26,Bolivia,Health,83,enero,1,1,0
PAR007,ORG008,CMP058,RED MUJERES+,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-11-28,2024-12-02,Guatemala,Youth,67,noviembre,11,1,1
PAR006,ORG003,CMP002,FUNDACIÓN FUTURO,Foundation,AI FOR SOCIAL IMPACT,Webinar,2024-04-15,2024-04-23,Colombia,Health,97,abril,4,1,0
PAR002,ORG008,CMP176,RED MUJERES+,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-08-02,2024-08-04,Argentina,Youth,54,agosto,8,1,0
PAR016,ORG010,CMP117,TECH POR TODOS,NGO,IMPACT MEASUREMENT 101,Training,2024-12-12,2024-12-20,Ecuador,Health,83,diciembre,12,1,0
PAR003,ORG001,CMP067,COMUNIDAD DATALATAM,Community Org,DIGITAL INCLUSION BOOTCAMP,Training,2024-09-04,2024-09-18,Mexico,Education,89,septiembre,9,1,0
PAR001,ORG001,CMP181,COMUNIDAD DATALATAM,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-10-03,2024-10-14,Colombia,Women Empowerment,72,octubre,10,1,0
PAR009,ORG005,CMP044,INNOVACCIÓN,NGO,COMMUNITY FUNDRAISING GALA,Fundraising,2024-04-05,2024-04-07,Mexico,Youth,,abril,4,1,1
PAR002,ORG004,CMP097,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-01-04,2024-01-16,Mexico,Women Empowerment,98,enero,1,1,0
PAR013,ORG004,CMP108,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-06-18,2024-06-19,Ecuador,Education,64,junio,6,1,0
PAR019,ORG004,CMP013,FUNDACIÓN LUZ VERDE,Foundation,AI FOR SOCIAL IMPACT,Webinar,2024-11-21,2024-12-04,Peru,Health,86,noviembre,11,1,0
PAR015,ORG005,CMP118,INNOVACCIÓN,NGO,IMPACT MEASUREMENT 101,Training,2024-12-26,2024-12-30,Peru,Health,49,diciembre,12,1,0
PAR002,ORG002,CMP046,EDU IMPACT,Social Enterprise,COMMUNITY FUNDRAISING GALA,Fundraising,2024-04-22,2024-04-26,Bolivia,Climate,77,abril,4,1,1
PAR011,ORG006,CMP124,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-05-08,2024-05-08,Guatemala,Youth,77,mayo,5,1,1
PAR001,ORG009,CMP175,SALUD CONECTA,Social Enterprise,STEAM TEACHERS WORKSHOP,Training,2024-07-06,2024-07-07,Mexico,Education,80,julio,7,1,0
PAR002,ORG003,CMP006,FUNDACIÓN FUTURO,Foundation,AI FOR SOCIAL IMPACT,Webinar,2024-06-16,2024-06-17,Chile,Climate,44,junio,6,1,0
PAR008,ORG001,CMP160,COMUNIDAD DATALATAM,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-11-19,2024-11-27,Peru,Women Empowerment,73,noviembre,11,1,0
PAR009,ORG008,CMP021,RED MUJERES+,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-01-26,2024-01-30,Chile,Women Empowerment,52,enero,1,1,0
PAR012,ORG001,CMP141,COMUNIDAD DATALATAM,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-03-09,2024-03-22,Brazil,Women Empowerment,40,marzo,3,1,0
PAR013,ORG006,CMP126,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-07-08,2024-07-13,Guatemala,Health,76,julio,7,1,1
PAR012,ORG001,CMP154,COMUNIDAD DATALATAM,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-08-24,2024-09-04,Costa Rica,Climate,56,agosto,8,1,0
PAR005,ORG008,CMP045,RED MUJERES+,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-04-18,2024-04-25,Brazil,Youth,,abril,4,1,0
PAR012,ORG010,CMP005,TECH POR TODOS,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-06-04,2024-06-15,Peru,Climate,,junio,6,1,0
PAR009,ORG010,CMP167,TECH POR TODOS,NGO,STEAM TEACHERS WORKSHOP,Training,2024-01-17,2024-01-19,Mexico,Health,45,enero,1,1,1
PAR007,ORG010,CMP057,TECH POR TODOS,NGO,COMMUNITY FUNDRAISING GALA,Fundraising,2024-11-27,2024-11-30,Argentina,Women Empowerment,78,noviembre,11,1,0
PAR019,ORG005,CMP008,INNOVACCIÓN,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-07-09,2024-07-22,Brazil,Education,47,julio,7,1,1
PAR020,ORG003,CMP123,FUNDACIÓN FUTURO,Foundation,LATAM DATA SUMMIT,Outreach,2024-04-22,2024-04-24,Guatemala,Youth,79,abril,4,1,1
PAR007,ORG007,CMP138,PUENTES DIGITALES,NGO,LATAM DATA SUMMIT,Outreach,2024-12-26,2025-01-03,Guatemala,Climate,92,diciembre,12,1,1
PAR005,ORG004,CMP004,FUNDACIÓN LUZ VERDE,Foundation,AI FOR SOCIAL IMPACT,Webinar,2024-05-27,2024-05-28,Ecuador,Education,71,mayo,5,1,1
PAR007,ORG006,CMP014,JÓVENES POR EL CLIMA,Community Org,AI FOR SOCIAL IMPACT,Webinar,2024-11-22,2024-11-29,Ecuador,Youth,58,noviembre,11,1,0
PAR004,ORG003,CMP137,FUNDACIÓN FUTURO,Foundation,LATAM DATA SUMMIT,Outreach,2024-12-15,2024-12-18,Brazil,Health,96,diciembre,12,1,0
PAR010,ORG001,CMP078,COMUNIDAD DATALATAM,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-02-28,2024-03-11,Guatemala,Women Empowerment,55,febrero,2,1,1
PAR019,ORG009,CMP101,SALUD CONECTA,Social Enterprise,IMPACT MEASUREMENT 101,Training,2024-03-03,1900-01-01,Chile,Climate,100,marzo,3,1,0
PAR011,ORG002,CMP062,EDU IMPACT,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-04-21,2024-04-28,Guatemala,Climate,57,abril,4,1,0
PAR011,ORG005,CMP135,INNOVACCIÓN,NGO,LATAM DATA SUMMIT,Outreach,2024-11-26,2024-11-26,Bolivia,Climate,69,noviembre,11,1,0
PAR007,ORG009,CMP130,SALUD CONECTA,Social Enterprise,LATAM DATA SUMMIT,Outreach,2024-09-20,2024-09-26,Argentina,Health,87,septiembre,9,1,0
PAR017,ORG010,CMP079,TECH POR TODOS,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-03-01,2024-03-03,Ecuador,Youth,,marzo,3,1,0
PAR004,ORG005,CMP015,INNOVACCIÓN,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-11-23,2024-12-07,Bolivia,Education,88,noviembre,11,1,0
PAR001,ORG009,CMP064,SALUD CONECTA,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-05-20,2024-05-28,Colombia,Health,79,mayo,5,1,0
PAR012,ORG008,CMP089,RED MUJERES+,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-08-16,2024-08-21,Chile,Health,69,agosto,8,1,1
PAR017,ORG004,CMP179,FUNDACIÓN LUZ VERDE,Foundation,STEAM TEACHERS WORKSHOP,Training,2024-09-01,2024-09-02,Colombia,Youth,83,septiembre,9,1,1
PAR017,ORG008,CMP028,RED MUJERES+,Community Org,CLIMATE INNOVATION HUB,Outreach,2024-05-29,2024-06-02,Ecuador,Climate,46,mayo,5,1,0
PAR001,ORG010,CMP093,TECH POR TODOS,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-12-04,2024-12-09,Mexico,Education,76,diciembre,12,1,0
PAR001,ORG006,CMP182,JÓVENES POR EL CLIMA,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-10-12,2024-10-20,Ecuador,Climate,72,octubre,10,1,1
PAR012,ORG004,CMP185,FUNDACIÓN LUZ VERDE,Foundation,STEAM TEACHERS WORKSHOP,Training,2024-12-17,2024-12-19,Peru,Climate,54,diciembre,12,1,0
PAR010,ORG006,CMP159,JÓVENES POR EL CLIMA,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-11-02,2024-11-11,Costa Rica,Women Empowerment,90,noviembre,11,1,0
PAR005,ORG009,CMP022,SALUD CONECTA,Social Enterprise,CLIMATE INNOVATION HUB,Outreach,2024-03-02,2024-03-13,Bolivia,Women Empowerment,56,marzo,3,1,0
PAR005,ORG003,CMP052,FUNDACIÓN FUTURO,Foundation,COMMUNITY FUNDRAISING GALA,Fundraising,2024-07-18,2024-07-28,Guatemala,Education,95,julio,7,1,1
PAR009,ORG007,CMP188,PUENTES DIGITALES,NGO,WOMEN IN TECH TALKS,Webinar,2024-02-19,2024-02-24,Mexico,Health,58,febrero,2,1,0
PAR011,ORG004,CMP147,FUNDACIÓN LUZ VERDE,Foundation,NONPROFIT TECH CLINIC,Tech support,2024-05-13,2024-05-16,Costa Rica,Youth,40,mayo,5,1,0
PAR018,ORG004,CMP034,FUNDACIÓN LUZ VERDE,Foundation,CLIMATE INNOVATION HUB,Outreach,2024-07-15,2024-07-26,Brazil,Climate,41,julio,7,1,1
PAR008,ORG008,CMP043,RED MUJERES+,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-02-28,2024-03-07,Argentina,Health,98,febrero,2,1,0
PAR019,ORG003,CMP190,FUNDACIÓN FUTURO,Foundation,WOMEN IN TECH TALKS,Webinar,2024-06-16,2024-06-27,Guatemala,Health,98,junio,6,1,0
PAR009,ORG003,CMP016,FUNDACIÓN FUTURO,Foundation,AI FOR SOCIAL IMPACT,Webinar,2024-12-04,2024-12-10,Mexico,Health,83,diciembre,12,1,0
PAR002,ORG008,CMP122,RED MUJERES+,Community Org,LATAM DATA SUMMIT,Outreach,2024-03-11,2024-03-11,Chile,Education,73,marzo,3,1,1
PAR019,ORG006,CMP178,JÓVENES POR EL CLIMA,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-08-20,2024-08-21,Argentina,Climate,86,agosto,8,1,0
PAR018,ORG008,CMP049,RED MUJERES+,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-06-04,2024-06-18,Costa Rica,Women Empowerment,60,junio,6,1,1
PAR002,ORG007,CMP085,PUENTES DIGITALES,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-06-02,2024-06-07,Brazil,Health,76,junio,6,1,0
PAR006,ORG005,CMP172,INNOVACCIÓN,NGO,STEAM TEACHERS WORKSHOP,Training,2024-03-13,2024-03-22,Mexico,Health,96,marzo,3,1,0
PAR006,ORG003,CMP146,FUNDACIÓN FUTURO,Foundation,NONPROFIT TECH CLINIC,Tech support,2024-04-24,2024-04-29,Brazil,Climate,54,abril,4,1,0
PAR008,ORG006,CMP087,JÓVENES POR EL CLIMA,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-06-21,2024-06-25,Peru,Women Empowerment,79,junio,6,1,1
PAR010,ORG008,CMP195,RED MUJERES+,Community Org,WOMEN IN TECH TALKS,Webinar,2024-11-25,2024-11-28,Mexico,Youth,83,noviembre,11,1,0
PAR014,ORG009,CMP048,SALUD CONECTA,Social Enterprise,COMMUNITY FUNDRAISING GALA,Fundraising,2024-05-30,2024-06-06,Brazil,Education,40,mayo,5,1,1
PAR012,ORG006,CMP155,JÓVENES POR EL CLIMA,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-10-02,2024-10-15,Bolivia,Health,77,octubre,10,1,0
PAR006,ORG009,CMP055,SALUD CONECTA,Social Enterprise,COMMUNITY FUNDRAISING GALA,Fundraising,2024-10-07,2024-10-12,Colombia,Women Empowerment,67,octubre,10,1,0
PAR019,ORG010,CMP145,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-04-11,2024-04-13,Bolivia,Women Empowerment,86,abril,4,1,1
PAR004,ORG004,CMP105,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-04-12,2024-04-25,Mexico,Health,,abril,4,1,0
PAR003,ORG003,CMP128,FUNDACIÓN FUTURO,Foundation,LATAM DATA SUMMIT,Outreach,2024-08-03,2024-08-16,Bolivia,Women Empowerment,81,agosto,8,1,0
PAR014,ORG010,CMP025,TECH POR TODOS,NGO,CLIMATE INNOVATION HUB,Outreach,2024-04-07,2024-04-21,Guatemala,Women Empowerment,58,abril,4,1,0
PAR016,ORG001,CMP077,COMUNIDAD DATALATAM,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-02-05,2024-02-18,Colombia,Youth,91,febrero,2,1,1
PAR020,ORG001,CMP011,COMUNIDAD DATALATAM,Community Org,AI FOR SOCIAL IMPACT,Webinar,2024-10-29,2024-10-29,Brazil,Youth,64,octubre,10,1,1
PAR014,ORG007,CMP029,PUENTES DIGITALES,NGO,CLIMATE INNOVATION HUB,Outreach,2024-05-30,2024-06-04,Peru,Health,,mayo,5,1,0
PAR016,ORG006,CMP080,JÓVENES POR EL CLIMA,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-03-24,2024-03-30,Mexico,Climate,63,marzo,3,1,0
PAR018,ORG008,CMP193,RED MUJERES+,Community Org,WOMEN IN TECH TALKS,Webinar,2024-10-07,2024-10-21,Bolivia,Education,72,octubre,10,1,0
PAR015,ORG009,CMP066,SALUD CONECTA,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-07-26,2024-08-01,Chile,Youth,61,julio,7,1,0
PAR011,ORG009,CMP072,SALUD CONECTA,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-11-27,2024-11-28,Peru,Women Empowerment,,noviembre,11,1,1
PAR016,ORG004,CMP189,FUNDACIÓN LUZ VERDE,Foundation,WOMEN IN TECH TALKS,Webinar,2024-03-12,2024-03-24,Ecuador,Youth,78,marzo,3,1,0
PAR018,ORG004,CMP039,FUNDACIÓN LUZ VERDE,Foundation,CLIMATE INNOVATION HUB,Outreach,2024-12-26,2025-01-06,Argentina,Climate,92,diciembre,12,1,0
PAR010,ORG008,CMP060,RED MUJERES+,Community Org,DIGITAL INCLUSION BOOTCAMP,Training,2024-01-02,2024-01-08,Ecuador,Climate,47,enero,1,1,0
PAR015,ORG007,CMP009,PUENTES DIGITALES,NGO,AI FOR SOCIAL IMPACT,Webinar,2024-08-29,2024-08-31,Mexico,Youth,63,agosto,8,1,1
PAR013,ORG001,CMP099,COMUNIDAD DATALATAM,Community Org,IMPACT MEASUREMENT 101,Training,2024-02-22,2024-02-28,Peru,Education,61,febrero,2,1,1
PAR004,ORG002,CMP096,EDU IMPACT,Social Enterprise,FUNDRAISING ACCELERATOR,Fundraising,2024-12-24,2025-01-06,Bolivia,Education,,diciembre,12,1,0
PAR006,ORG007,CMP019,PUENTES DIGITALES,NGO,CLIMATE INNOVATION HUB,Outreach,2024-01-09,2024-01-12,Costa Rica,Youth,82,enero,1,1,1
PAR003,ORG004,CMP023,FUNDACIÓN LUZ VERDE,Foundation,CLIMATE INNOVATION HUB,Outreach,2024-03-08,2024-03-17,Brazil,Climate,70,marzo,3,1,0
PAR004,ORG010,CMP095,TECH POR TODOS,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-12-18,2024-12-27,Ecuador,Women Empowerment,43,diciembre,12,1,0
PAR012,ORG006,CMP149,JÓVENES POR EL CLIMA,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-06-08,2024-06-14,Argentina,Youth,,junio,6,1,0
PAR004,ORG006,CMP074,JÓVENES POR EL CLIMA,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-01-20,2024-01-21,Colombia,Women Empowerment,85,enero,1,1,0
PAR016,ORG001,CMP003,COMUNIDAD DATALATAM,Community Org,AI FOR SOCIAL IMPACT,Webinar,2024-05-04,2024-05-16,Brazil,Health,61,mayo,5,1,0
PAR016,ORG009,CMP103,SALUD CONECTA,Social Enterprise,IMPACT MEASUREMENT 101,Training,2024-04-06,2024-04-17,Brazil,Education,64,abril,4,1,0
PAR002,ORG004,CMP171,FUNDACIÓN LUZ VERDE,Foundation,STEAM TEACHERS WORKSHOP,Training,2024-02-28,2024-03-10,Colombia,Women Empowerment,86,febrero,2,1,0
PAR020,ORG004,CMP109,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-06-24,2024-07-05,Costa Rica,Women Empowerment,58,junio,6,1,0
PAR013,ORG003,CMP024,FUNDACIÓN FUTURO,Foundation,CLIMATE INNOVATION HUB,Outreach,2024-03-14,2024-03-27,Ecuador,Youth,68,marzo,3,1,0
PAR016,ORG003,CMP081,FUNDACIÓN FUTURO,Foundation,FUNDRAISING ACCELERATOR,Fundraising,2024-04-26,2024-05-07,Argentina,Youth,,abril,4,1,0
PAR004,ORG006,CMP042,JÓVENES POR EL CLIMA,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-02-07,2024-02-07,Argentina,Climate,86,febrero,2,1,1
PAR005,ORG004,CMP162,FUNDACIÓN LUZ VERDE,Foundation,NONPROFIT TECH CLINIC,Tech support,2024-12-02,2024-12-02,Argentina,Education,83,diciembre,12,1,1
PAR005,ORG002,CMP091,EDU IMPACT,Social Enterprise,FUNDRAISING ACCELERATOR,Fundraising,2024-10-01,1900-01-01,Chile,Health,62,octubre,10,1,1
PAR009,ORG004,CMP100,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-02-27,2024-03-01,Ecuador,Youth,51,febrero,2,1,1
PAR017,ORG004,CMP063,FUNDACIÓN LUZ VERDE,Foundation,DIGITAL INCLUSION BOOTCAMP,Training,2024-04-23,2024-04-25,Guatemala,Climate,41,abril,4,1,0
PAR007,ORG006,CMP107,JÓVENES POR EL CLIMA,Community Org,IMPACT MEASUREMENT 101,Training,2024-05-14,2024-05-21,Mexico,Climate,77,mayo,5,1,1
PAR008,ORG001,CMP174,COMUNIDAD DATALATAM,Community Org,STEAM TEACHERS WORKSHOP,Training,2024-06-01,2024-06-07,Guatemala,Youth,80,junio,6,1,1
PAR015,ORG001,CMP050,COMUNIDAD DATALATAM,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-06-23,2024-06-28,Brazil,Education,66,junio,6,1,0
PAR003,ORG006,CMP132,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-10-10,2024-10-23,Mexico,Women Empowerment,62,octubre,10,1,0
PAR006,ORG002,CMP051,EDU IMPACT,Social Enterprise,COMMUNITY FUNDRAISING GALA,Fundraising,2024-07-14,2024-07-19,Brazil,Youth,,julio,7,1,0
PAR013,ORG006,CMP061,JÓVENES POR EL CLIMA,Community Org,DIGITAL INCLUSION BOOTCAMP,Training,2024-02-20,2024-03-02,Guatemala,Health,56,febrero,2,1,1
PAR002,ORG007,CMP125,PUENTES DIGITALES,NGO,LATAM DATA SUMMIT,Outreach,2024-05-08,2024-05-22,Guatemala,Women Empowerment,86,mayo,5,1,0
PAR011,ORG007,CMP156,PUENTES DIGITALES,NGO,NONPROFIT TECH CLINIC,Tech support,2024-10-19,2024-10-28,Bolivia,Youth,95,octubre,10,1,0
